age,marital,housing,loan,duration,campaign,pdays,previous,poutcome,y
33,single,yes,no,202,2,999,0,nonexistent,no
41,married,no,no,172,1,999,0,nonexistent,no
50,married,no,no,146,1,999,1,failure,no
31,married,no,no,91,4,999,0,nonexistent,no
47,married,no,no,463,2,999,0,nonexistent,no
49,married,no,no,141,1,999,0,nonexistent,no
59,married,yes,no,274,5,999,0,nonexistent,no
47,married,no,no,408,2,999,0,nonexistent,no
46,married,yes,no,243,4,999,0,nonexistent,no
26,single,no,no,715,1,999,0,nonexistent,yes
41,married,no,no,402,1,999,0,nonexistent,no
40,married,yes,no,198,3,999,0,nonexistent,no
47,married,no,no,176,1,999,0,nonexistent,no
27,single,no,no,130,1,999,0,nonexistent,no
30,married,no,no,333,19,999,0,nonexistent,no
42,married,yes,yes,156,1,999,0,nonexistent,no
39,single,yes,no,58,1,999,0,nonexistent,no
29,single,no,no,290,1,999,0,nonexistent,no
46,married,unknown,unknown,445,2,999,0,nonexistent,no
41,married,yes,no,55,1,999,0,nonexistent,no
36,married,no,no,85,1,999,0,nonexistent,no
52,married,no,no,114,6,999,0,nonexistent,no
32,married,yes,no,154,1,999,0,nonexistent,no
31,single,yes,no,31,9,999,0,nonexistent,no
45,married,yes,no,134,1,999,0,nonexistent,no
48,married,yes,no,132,1,999,0,nonexistent,no
32,single,no,no,611,2,999,0,nonexistent,no
33,married,no,no,133,4,999,0,nonexistent,no
41,single,yes,no,153,2,999,0,nonexistent,no
53,married,yes,no,274,2,999,0,nonexistent,no
51,married,no,no,547,3,999,0,nonexistent,no
26,single,no,no,306,1,999,0,nonexistent,yes
27,single,no,no,350,1,999,0,nonexistent,no
31,married,yes,no,144,2,999,0,nonexistent,no
44,married,no,no,345,5,999,0,nonexistent,no
35,married,unknown,unknown,34,1,999,0,nonexistent,no
44,married,no,no,272,2,999,0,nonexistent,no
41,married,no,no,124,1,999,0,nonexistent,no
34,married,yes,yes,379,2,999,0,nonexistent,no
34,married,yes,no,178,1,999,0,nonexistent,no
43,married,yes,no,663,1,999,0,nonexistent,yes
39,divorced,no,no,143,1,999,0,nonexistent,no
46,divorced,no,no,1288,3,999,0,nonexistent,no
35,divorced,no,no,354,1,999,0,nonexistent,yes
47,married,yes,yes,55,1,999,0,nonexistent,no
27,single,no,no,52,4,999,0,nonexistent,no
37,married,no,no,547,1,999,0,nonexistent,no
52,married,yes,no,397,1,999,0,nonexistent,no
43,married,yes,no,141,2,999,0,nonexistent,no
31,single,yes,no,76,4,999,0,nonexistent,no
29,single,yes,no,67,1,999,0,nonexistent,no
43,married,yes,no,126,2,999,1,failure,no
47,single,yes,no,39,3,999,0,nonexistent,no
45,divorced,yes,no,156,1,999,0,nonexistent,no
39,married,no,no,181,1,999,0,nonexistent,no
36,married,yes,no,649,2,999,0,nonexistent,no
21,single,no,no,293,2,999,0,nonexistent,no
28,married,no,no,60,3,999,0,nonexistent,no
48,divorced,yes,no,365,1,999,0,nonexistent,no
43,married,no,no,75,1,999,0,nonexistent,no
37,single,no,yes,220,2,999,0,nonexistent,no
59,divorced,yes,no,281,3,999,0,nonexistent,no
31,married,yes,no,108,3,999,0,nonexistent,no
57,single,yes,no,107,8,999,0,nonexistent,no
44,married,no,no,464,3,999,0,nonexistent,no
57,divorced,yes,yes,236,2,999,0,nonexistent,no
26,single,no,no,237,5,999,0,nonexistent,no
43,married,yes,no,83,1,999,0,nonexistent,no
34,married,yes,no,232,2,999,0,nonexistent,no
48,married,no,no,1061,4,999,0,nonexistent,yes
32,divorced,yes,no,324,2,999,0,nonexistent,no
38,single,yes,no,202,3,999,1,failure,no
37,single,no,yes,133,4,999,0,nonexistent,no
29,single,yes,no,104,2,999,0,nonexistent,no
42,married,no,no,68,2,999,0,nonexistent,no
52,divorced,no,no,20,1,999,0,nonexistent,no
48,divorced,no,yes,119,2,999,0,nonexistent,no
30,single,yes,no,205,3,999,0,nonexistent,no
41,married,no,no,203,2,999,0,nonexistent,no
24,single,yes,no,393,3,999,0,nonexistent,no
57,divorced,yes,no,108,1,999,0,nonexistent,no
28,single,yes,no,93,3,11,2,failure,no
51,divorced,no,no,293,7,999,0,nonexistent,no
41,married,no,yes,272,1,999,1,failure,no
25,single,yes,no,362,5,999,0,nonexistent,no
47,single,no,no,108,1,999,0,nonexistent,no
34,single,yes,no,108,1,999,0,nonexistent,no
40,married,yes,yes,184,4,999,0,nonexistent,no
29,single,no,no,92,3,999,0,nonexistent,no
33,married,yes,no,41,1,999,0,nonexistent,no
47,married,yes,no,138,6,999,0,nonexistent,no
42,married,yes,no,184,2,999,0,nonexistent,no
55,married,yes,yes,63,1,999,0,nonexistent,no
40,married,yes,no,82,4,999,0,nonexistent,no
34,single,yes,no,55,1,999,0,nonexistent,no
54,married,yes,no,90,2,999,0,nonexistent,no
47,single,no,no,429,1,999,0,nonexistent,no
39,married,yes,no,216,2,999,0,nonexistent,no
35,married,no,no,240,2,999,0,nonexistent,no
34,married,no,no,419,7,999,0,nonexistent,no
31,single,yes,yes,244,1,999,0,nonexistent,no
29,single,unknown,unknown,158,1,999,0,nonexistent,no
43,married,yes,no,99,6,999,0,nonexistent,no
33,married,yes,no,112,4,999,0,nonexistent,no
44,single,yes,no,124,1,999,0,nonexistent,no
32,single,no,no,93,2,999,1,failure,no
37,married,unknown,unknown,322,2,999,0,nonexistent,no
28,single,no,yes,261,1,999,1,failure,yes
31,divorced,yes,no,142,2,999,0,nonexistent,no
33,single,yes,no,116,2,999,1,failure,no
29,single,yes,no,420,1,999,0,nonexistent,no
34,divorced,no,no,116,5,999,0,nonexistent,no
34,divorced,yes,no,190,4,999,0,nonexistent,no
34,divorced,no,no,178,1,999,0,nonexistent,no
34,single,yes,no,251,1,999,0,nonexistent,no
36,married,yes,no,70,1,999,0,nonexistent,no
28,married,no,no,118,1,999,0,nonexistent,no
38,married,no,no,126,1,7,4,failure,yes
34,married,yes,no,37,1,999,0,nonexistent,no
53,married,yes,yes,60,1,999,0,nonexistent,no
36,single,yes,no,115,2,999,0,nonexistent,no
24,single,no,no,65,1,999,2,failure,no
29,single,no,no,44,3,999,0,nonexistent,no
47,married,yes,no,329,3,999,0,nonexistent,no
33,single,yes,no,89,2,999,0,nonexistent,no
56,divorced,yes,no,125,2,999,1,failure,no
38,married,no,no,93,1,999,0,nonexistent,no
30,single,yes,yes,74,2,999,0,nonexistent,no
38,married,no,no,122,2,999,0,nonexistent,no
37,married,no,no,1187,2,999,0,nonexistent,no
30,single,unknown,unknown,808,1,12,2,failure,yes
38,married,no,no,273,5,999,0,nonexistent,no
40,single,no,yes,61,4,999,0,nonexistent,no
26,single,no,no,8,1,999,0,nonexistent,no
45,divorced,yes,no,74,1,999,0,nonexistent,no
27,married,yes,yes,470,1,999,0,nonexistent,no
59,single,no,no,193,1,999,0,nonexistent,no
49,married,yes,no,109,1,999,0,nonexistent,no
29,divorced,no,no,282,1,999,0,nonexistent,no
47,married,yes,no,53,1,999,1,failure,no
43,married,no,no,246,1,999,0,nonexistent,no
28,married,no,no,240,2,999,0,nonexistent,no
35,single,no,yes,371,1,999,0,nonexistent,no
47,single,yes,no,68,2,999,0,nonexistent,no
58,single,no,no,233,1,999,0,nonexistent,no
36,single,yes,no,21,10,999,0,nonexistent,no
26,married,no,no,878,2,999,0,nonexistent,yes
50,divorced,yes,yes,137,2,999,0,nonexistent,no
27,single,no,no,149,1,999,0,nonexistent,no
34,divorced,yes,no,11,1,999,1,failure,no
55,married,no,no,136,3,999,0,nonexistent,no
36,single,yes,no,508,1,999,0,nonexistent,no
33,married,yes,no,120,1,999,0,nonexistent,no
44,married,yes,no,480,2,999,0,nonexistent,no
28,single,unknown,unknown,48,3,999,1,failure,no
30,married,no,no,85,2,999,0,nonexistent,no
58,married,yes,no,645,10,999,0,nonexistent,yes
52,divorced,no,no,867,2,999,0,nonexistent,no
30,divorced,yes,no,67,2,999,0,nonexistent,no
54,married,unknown,unknown,352,3,999,1,failure,yes
36,married,yes,no,175,4,999,0,nonexistent,no
54,divorced,yes,no,843,2,999,0,nonexistent,no
29,single,no,no,78,1,999,0,nonexistent,no
45,married,yes,no,184,2,999,1,failure,no
30,married,no,no,313,3,999,0,nonexistent,yes
36,single,unknown,unknown,480,1,999,1,failure,yes
30,single,yes,no,78,1,999,0,nonexistent,no
30,married,yes,no,117,2,999,0,nonexistent,no
31,single,yes,no,153,3,999,0,nonexistent,no
44,married,unknown,unknown,471,3,999,0,nonexistent,no
58,married,no,no,198,2,999,2,failure,no
44,single,no,no,208,1,999,0,nonexistent,no
56,divorced,yes,no,110,1,999,0,nonexistent,no
52,single,no,yes,139,1,999,0,nonexistent,no
30,divorced,no,no,167,3,999,0,nonexistent,no
41,married,yes,no,440,4,999,0,nonexistent,no
33,single,yes,no,203,4,999,1,failure,yes
35,married,no,yes,57,1,999,0,nonexistent,no
56,married,yes,no,124,3,999,0,nonexistent,no
36,divorced,yes,no,146,2,999,2,failure,yes
45,married,no,no,371,3,999,0,nonexistent,no
50,married,yes,no,105,3,999,0,nonexistent,no
29,married,yes,no,186,1,999,0,nonexistent,no
34,married,yes,no,186,2,999,0,nonexistent,no
31,single,yes,no,17,2,999,0,nonexistent,no
40,married,yes,no,130,1,999,0,nonexistent,no
44,married,yes,no,130,1,999,1,failure,no
32,married,yes,no,144,1,999,0,nonexistent,no
33,single,yes,no,143,1,999,0,nonexistent,no
38,single,yes,no,328,1,999,0,nonexistent,no
64,married,no,no,700,2,5,1,success,yes
48,married,yes,no,203,1,999,0,nonexistent,no
32,divorced,no,no,23,2,999,0,nonexistent,no
40,married,unknown,unknown,61,2,999,0,nonexistent,no
32,single,no,no,247,1,2,2,success,yes
43,married,yes,no,197,2,999,0,nonexistent,no
29,single,no,no,132,2,999,0,nonexistent,no
39,married,yes,no,126,4,999,0,nonexistent,no
48,married,no,no,486,2,999,0,nonexistent,no
31,single,yes,yes,282,1,999,0,nonexistent,no
52,married,yes,no,402,2,999,0,nonexistent,no
23,single,no,yes,49,1,999,0,nonexistent,no
55,married,yes,no,220,7,999,0,nonexistent,no
56,married,no,yes,90,3,999,0,nonexistent,no
63,married,yes,no,96,1,999,0,nonexistent,yes
45,single,yes,no,316,2,999,2,failure,no
31,married,yes,no,179,1,999,0,nonexistent,no
30,divorced,yes,no,62,4,999,1,failure,no
41,single,yes,no,360,2,999,0,nonexistent,no
41,married,yes,no,789,1,999,0,nonexistent,no
41,married,yes,no,234,1,999,2,failure,no
25,single,yes,no,95,2,999,0,nonexistent,no
33,single,yes,no,127,2,999,0,nonexistent,no
37,divorced,yes,no,442,1,999,0,nonexistent,yes
41,divorced,yes,no,188,4,999,0,nonexistent,no
35,married,yes,yes,435,1,999,0,nonexistent,yes
28,single,yes,no,315,3,999,0,nonexistent,no
41,single,yes,no,118,1,999,1,failure,no
38,married,yes,no,70,3,999,0,nonexistent,no
58,married,yes,no,281,1,999,0,nonexistent,no
57,divorced,no,no,100,5,999,0,nonexistent,no
33,married,yes,no,126,1,999,0,nonexistent,no
48,married,no,no,145,4,999,0,nonexistent,no
48,married,yes,no,436,1,999,0,nonexistent,no
50,married,yes,no,93,1,999,0,nonexistent,no
36,single,yes,no,208,1,999,1,failure,no
33,single,no,no,739,3,999,0,nonexistent,no
35,married,no,no,34,31,999,0,nonexistent,no
56,married,no,no,331,1,999,0,nonexistent,no
39,divorced,yes,no,46,1,999,0,nonexistent,no
45,married,yes,no,666,3,999,1,failure,no
51,married,no,no,289,1,999,0,nonexistent,no
33,married,yes,yes,77,2,999,0,nonexistent,no
37,divorced,no,no,51,10,999,0,nonexistent,no
36,single,yes,no,148,6,999,0,nonexistent,no
35,single,yes,no,234,2,999,0,nonexistent,no
54,married,unknown,unknown,56,1,999,0,nonexistent,no
36,single,no,no,141,1,999,1,failure,no
48,married,no,no,375,1,999,0,nonexistent,no
55,married,yes,yes,1101,1,999,0,nonexistent,no
54,married,no,yes,123,7,999,0,nonexistent,no
38,married,no,no,460,4,999,0,nonexistent,yes
58,married,no,no,317,1,999,0,nonexistent,no
46,married,no,no,29,3,999,0,nonexistent,no
49,married,yes,no,44,1,999,0,nonexistent,no
42,married,yes,no,154,1,999,0,nonexistent,no
45,married,yes,no,48,3,999,0,nonexistent,no
26,single,yes,no,209,1,999,0,nonexistent,no
33,married,no,yes,190,3,999,0,nonexistent,no
35,married,yes,no,417,1,999,0,nonexistent,no
50,married,yes,no,204,1,999,0,nonexistent,no
44,married,no,no,90,4,999,0,nonexistent,no
33,married,no,no,1241,2,999,0,nonexistent,no
37,single,yes,no,158,1,999,0,nonexistent,no
24,single,no,yes,342,2,999,0,nonexistent,yes
71,married,no,no,559,1,999,0,nonexistent,yes
41,married,yes,no,208,2,999,0,nonexistent,no
57,divorced,yes,no,72,3,999,0,nonexistent,no
32,married,yes,no,100,2,999,0,nonexistent,no
33,single,yes,no,111,1,999,0,nonexistent,no
48,single,yes,no,142,2,999,0,nonexistent,no
37,married,yes,no,95,1,999,0,nonexistent,no
33,married,yes,no,162,6,999,0,nonexistent,no
34,single,no,no,110,2,999,0,nonexistent,no
34,single,no,no,212,2,999,0,nonexistent,no
32,married,yes,no,833,2,999,0,nonexistent,no
48,married,yes,no,173,6,999,0,nonexistent,no
